기업명,대학명,대표자,사업자등록번호,산업분류,업종업태,주소
문화예술담협동조합,조선대학교,심진숙,409-86-39273,,디자인,
미나페이,전남대학교,김대섭,418-88-01019,스마트뿌리,"제조업, 도매및소매/화장품","광주광역시 동구 금남로 245, 5층 528호 (61475)"
미디어리얼리서치코리아,전남대학교,정동규,277-81-01952,AI,정보통신,서울 강남구 논현로 628 2층(논현동)
미래로21병원,조선간호대학교,양우석 외 15명,410-14-34586,,보건업 및 사회복지 서비스업,
미래정보,전남대학교,신일식,410-86-00841,데이터,서비스,광주 북구 첨단 연신로 363 (연제동)
미션포유,조선대학교,윤준식,106-06-48041,,광고홍보대행업,
미즈라인,전남대학교,유정열,141-81-41446,,의복 액세서리 및 모조 장신구 도매업,
바론테크,전남대학교,김대석,508-10-65976,스마트뿌리,제조업,광주 북구 첨단연신로 48 C동 (연제동)
바른길 수산질병관리원,조선대학교,이귀숙,405-37-01307,,"도.소매업,서비스업",
바이오리진,전남대학교,박진석,409-86-09371,바이오헬스,정형외과용 및 시체보정용 기기 제조업,
바이오브레인,전남대학교,김기성,314-86-44653,데이터,"서비스, 도소매/제조, 소프트웨어",대전 서구 둔산대로117번길 66 골드벤쳐타워 208호(만년동)
바이오쓰리에스,전남대학교,김두운,372-87-00681,스마트뿌리,"화장품 제조업, 기타 식품 첨가물 제조업",광주 북구 용봉로 77 농업전문창업보육센터 102호 (61186)
바이오트코리아,전남대학교,장영준,418-87-00712,바이오헬스,의료용 기기 제조업,
박셀바이오,전남대학교,이준행,408-81-85541,바이오헬스,의학 및 약학 연구개발업,
박철우프로샵,조선대학교,박철우,143-36-00096,,위탁판매업,
배터리움,전남대학교,서 훈,713-86-02428,,"이차전지 멤브레인, 배터리(축전지)","대전광역시 유성구 대덕대로 593, 415호(도룡동, 대덕테크비즈센터)"
버디랩스,전남대학교,김민재,885-88-02988,데이터,정보통신업,"경기 성남시 분당구 서현로210번길 1 4층 405-나40호 (서현동, 보람코아)"
베이빗,전남대학교,윤길현,787-87-01543,메디헬스,도매 및 소매업,광주 남구 효덕로 227 1층 및 지하창고 (행암동)
베이스튜디오,조선대학교,임주신,475-09-00342,,영상제작 및 음원 제작,
베이지모드,전남대학교,나현숙,408-45-05909,문화콘텐츠,의복/제조,광주 북구 금남로 115번길 7 3층 베이지모드 (북동)
벤텍프런티어,전남대학교,기윤종,409-86-41139,스마트뿌리,제조(공기 조화장치 제조업),광주 북구 용봉로 77 5-268 (전남대학교 공과대학)
벵크레일,조선대학교,김병훈,144-02-29179,,철도차량 부품 제작 및 수출입,
변호사박철법률사무소,전남대학교,박철,348-18-01323,문화콘텐츠,법률사무소/ 서비스업,광주 동구 지산로 74-8 심산빌딩 402호
보네따스 협동조합,조선대학교,남병효,502-82-22864,,"식재료(커피 등), 커피 관련 문화콘텐츠",
부경,전남대학교,정희철,417-86-00949,차세대에너지,"태양광 발전사업, 초발수 필름사업, 유지보수",
부용금강영농조합법인,전남대학교,오두진,301-81-45272,메디헬스,도매업,세종특별자치시 부강면 금호황성골길 10-15 금호리163 (금호리)
북구 미래아동병원,조선간호대학교,윤원상,409-90-78778,,보건업 및 사회복지 서비스업,
브레이크더룰스,전남대학교,임희정,854-86-01225,스마트뿌리,제조업,"광주 북구 첨단벤처소로38번길 20-13, 306호"
브레인포커스,전남대학교,임선영,432-88-01349,스마트뿌리,"제조업, 도소매업",광주광역시 북구 하서로 508 (본촌동) 2층
브이원텍,전남대학교,김선중,129-81-98032,스마트뿌리,"제조업/산업용콘트롤러, 산업용로봇 등","경기도 성남시 분당구 대왕판교로 660 (삼평동, 유스페이스1) A-710"
비글리,전남대학교,권은서,702-24-01566,스마트뿌리,전자상거래 소매업,"전라북도 전주시 완산구 신봉로 52 (효자동1가, 제일아파트) 2동 102호"
비다랩스,전남대학교,길가영,722-88-01878,AI,정보통신업/AI응용소프트웨어 개발 및 공급업,"광주 북구 첨단과기로 123 창업진흥센터 A동 304호 (오룡동, 광주과학기술원)"
비빔밥 이야기,전남대학교,이진희,515-81-57154,데이터,소프트웨어 개발 및 공급업/정보통신업,"세종특별자치시 시청대로 213 209호 (보람동, 금강베네치아)"
비앤이소음컨설팅연구소,한국폴리텍Ⅴ대학,이주엽,454-81-00166,,서비스,
비에이에너지,전남대학교,강태영,409-86-47133,에너지,제조업/에너지저장장치 제조업(건축용 플라스틱 조립제품 제조업),광주광역시 북구 첨단연신로 12 (연제동) B동 2층
비에이에너지랩,전남대학교,강태영,534-87-00595,,신재생에너지 및 건설자재,"광주 북구 첨단연신로 12, 1층"
비온시이노베이터,전남대학교,김용수,409-81-90412,스마트뿌리,로봇제품 및 부품,"전남 나주시 그린로 229, 5층 501호, 502호"
비유화,조선대학교,김하나,219-10-22155,,전문과학지식서비스업,
비일비재,조선대학교,신경아,835-52-00142,,인쇄 출판 기획,
비피도,전남대학교,권빈,119-81-32746,바이오헬스,건강기능식품 제조업,
사단법인 한국스마트이모빌리티협회,전남대학교,주영진,117-82-71677,모빌리티,서비스,전남 영광군 대마면 전기차1로 119-4 e-모빌리티연구센터 (57055)
